from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,18789,0.006527624,0.293943752,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56421,0.003579417,0.400798586,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,170721,0.037835927,0.648167578,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12499,0.024478823,0.182117881,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14281,2.15e-09,3.115823855,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,26380,2.71e-08,0.827072378,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,238328,4.61e-07,0.780363354,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15519,3.79e-05,0.532389045,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22031,0.002014402,0.323644455,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66154,3.17e-05,0.245894112,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18003,0.001867343,0.45409994,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,110521,0.00131999,0.174076808,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13614,0.000676204,0.786215847,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76137,1.43e-06,0.309037301,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67252,0.0462089,0.173745762,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66695,0.000102621,0.961968142,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19134,1.06e-05,0.318212444,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17084,0.039873077,0.695305825,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,72061,0.014349022,0.376980072,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66494,0.000892127,0.311642674,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,57266,0.009820563,0.265173179,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67530,0.024769812,0.15564351,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,210044,0.041187391,0.253391915,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17129,0.008859982,0.184637986,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,93692,0.017713361,0.212751184,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13003,0.011211538,0.495184033,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,76722,0.032882395,0.278971621,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19356,0.00849654,0.210367281,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14063,0.001278971,0.899635979,spaceflight_v_ground_control,spaceflight,ground_control
