from,to,adj_p_value,log2fc,factor,factor_1,factor_2
GLDS-99,14573,0.002438557,-0.72299043,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67515,0.022512395,-0.209712653,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,77877,0.000126489,-0.257985141,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68070,0.047823749,-0.202314647,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,85308,0.00995681,-0.238080714,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68646,7.02e-05,-0.316219964,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66270,0.002594774,-0.394731206,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17909,0.049846331,-0.208629291,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,22762,0.003374528,-0.694963297,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11600,0.004884896,-0.403622896,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17869,6.79e-09,-1.039165051,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21685,8.06e-14,-0.691906728,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,97998,3.46e-05,-0.501538487,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,71919,0.019002435,-0.199188034,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,58200,0.005776479,-0.34732358,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66911,0.009739832,-0.28252054,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,268822,0.002256835,-0.503370256,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68877,0.003877403,-0.21168248,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,52710,0.03858975,-0.21618034,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14731,0.04518061,-0.175011569,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,75475,0.002954295,-0.303061376,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66194,0.048052323,-0.272367194,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,29857,0.014526678,-0.204546221,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,12651,0.041812222,-0.302328151,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,15260,0.046156368,-0.120504607,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,224023,0.00293043,-0.283684491,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,18440,0.018898193,-0.197675334,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,66863,0.009387199,-0.24941891,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,13383,0.006660846,-0.179116659,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68980,0.041371036,-0.293759252,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,64082,0.003011936,-0.234875143,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,16419,4.43e-08,-0.412723154,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,11450,0.001936314,-1.320650977,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,106347,0.000212337,-1.288616767,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70028,0.001555831,-0.51355127,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,239652,0.001151672,-0.218000602,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,54614,0.008545962,-0.244651259,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,14555,1.39e-09,-0.433942185,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,67488,0.001451472,-0.179666201,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20618,0.007513977,-0.699362526,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,70380,0.008844628,-0.202256841,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17250,0.021147324,-0.195599985,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,19718,0.000378782,-0.294761422,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,107971,0.041717775,-0.269159227,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21991,0.005348338,-0.157866901,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17151,1.32e-05,-0.387000765,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78887,0.047298464,-0.410384704,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20975,0.006007795,-0.566254231,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,74011,5.55e-06,-0.492674343,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,20230,0.000568664,-0.192994332,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56055,0.011010228,-0.179470668,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,83965,0.004154881,-0.227444998,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,56050,0.001256136,-0.323129262,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,63856,0.001728098,-0.234952352,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,21425,0.000432133,-0.251751335,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68597,0.036642815,-0.323245071,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,17929,0.000249061,-0.248594328,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,68767,1.22e-05,-0.282980241,spaceflight_v_ground_control,spaceflight,ground_control
GLDS-99,78586,0.026204033,-0.332653274,spaceflight_v_ground_control,spaceflight,ground_control
